goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  556005	       215.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=5/stride=5            	  387278	       305.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=32/stride=32          	   27243	      4435 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=64/stride=64          	    6708	     16517 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=128/stride=128        	    1378	     86040 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=256        	     176	    677156 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=259        	     552	    217161 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=3/stride=3         	  870327	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=4/stride=4         	  529868	       226.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=5/stride=5         	  375033	       320.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=32/stride=32       	   22171	      5401 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=64/stride=64       	    5662	     21105 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=128/stride=128     	     998	    120204 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=256     	     134	    887348 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=259     	     391	    303134 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     582	    197449 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1094727 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      15	   7627656 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 117314667 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     434	    280563 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      72	   1618668 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13511771 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 171403834 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     288	    403946 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      49	   2394527 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  18127944 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 187851500 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     158	    784489 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4324625 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  30466104 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 284435292 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=3/stride=3         	  967156	       126.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=4/stride=4         	  571983	       203.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=5/stride=5         	  424159	       289.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=32/stride=32       	   34447	      3453 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     10736 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2398	     50012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=256     	     244	    485066 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=259     	     834	    141655 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=3/stride=3            	  917342	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=4/stride=4            	  566605	       211.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=5/stride=5            	  401886	       302.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=32/stride=32          	   27384	      4404 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=64/stride=64          	    7399	     16028 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=128/stride=128        	    1396	     86862 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=256        	     176	    675904 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=259        	     526	    219526 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=3/stride=3            	  912692	       131.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  560256	       215.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=5/stride=5            	  399676	       302.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=32/stride=32          	   27316	      4450 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=64/stride=64          	    7545	     15902 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=128/stride=128        	    1398	     85966 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=256        	     175	    681235 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=259        	     552	    217019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=3/stride=3         	  870220	       138.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=4/stride=4         	  531727	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=5/stride=5         	  373729	       321.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=32/stride=32       	   22291	      5360 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=64/stride=64       	    5701	     21095 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=128/stride=128     	    1003	    119280 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=256     	     134	    888241 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=259     	     393	    306899 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
